MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001073	-50.152300
0.001073	-50.137994
0.001073	-50.123471
0.001073	-50.109140
0.001074	-50.095244
0.001074	-50.081812
0.001074	-50.069374
0.001074	-50.058054
0.001074	-50.048123
0.001075	-50.039867
0.001075	-50.033627
0.001075	-50.029572
0.001075	-50.027781
0.001075	-50.028294
0.001074	-50.030980
0.001074	-50.034727
0.001074	-50.039146
0.001074	-50.044274
0.001073	-50.050341
0.001073	-50.057554
0.001073	-50.065969
0.001072	-50.075649
0.001072	-50.086669
0.001071	-50.098902
0.001071	-50.112047
0.001070	-50.125930
0.001070	-50.140284
0.001069	-50.154520
0.001069	-50.168397
Mean R	Std.Dev R
0.001073	1.964631E-6
Mean T	Std.Dev T
-50.067479	0.141975
Current Position 
69.835
R(V)	Theta
0.001062	-50.371333
0.001062	-50.373104
0.001062	-50.374284
0.001062	-50.374940
0.001062	-50.374912
0.001061	-50.374432
0.001061	-50.373541
0.001061	-50.372413
0.001061	-50.370914
0.001061	-50.368948
0.001060	-50.366222
0.001060	-50.362663
0.001060	-50.358200
0.001060	-50.353076
0.001059	-50.347399
0.001059	-50.341200
0.001059	-50.334767
0.001059	-50.328211
0.001058	-50.321726
0.001058	-50.315753
0.001058	-50.310254
0.001057	-50.305279
0.001057	-50.301027
0.001057	-50.297420
0.001057	-50.294415
0.001056	-50.292195
0.001056	-50.290698
0.001056	-50.289901
0.001056	-50.289867
0.001056	-50.290746
0.001056	-50.292591
0.001057	-50.295521
0.001057	-50.299179
0.001057	-50.303632
0.001058	-50.309083
0.001058	-50.315689
0.001058	-50.323399
0.001059	-50.332253
0.001059	-50.342032
0.001060	-50.352683
0.001060	-50.364104
0.001061	-50.375941
0.001061	-50.387886
0.001062	-50.399806
0.001062	-50.411376
0.001063	-50.422429
0.001063	-50.433027
0.001064	-50.443202
0.001064	-50.453060
0.001065	-50.462536
0.001065	-50.471539
0.001066	-50.480028
0.001066	-50.487928
0.001066	-50.495102
0.001067	-50.501264
0.001067	-50.506083
0.001068	-50.509375
0.001068	-50.511111
0.001068	-50.511194
0.001068	-50.509790
0.001069	-50.506911
0.001069	-50.502672
0.001069	-50.497224
0.001069	-50.490553
0.001069	-50.482657
0.001069	-50.473664
0.001069	-50.463650
0.001069	-50.452588
0.001069	-50.440619
0.001068	-50.427744
0.001068	-50.413771
