MoTe2 scan
Current Position 
70.000
R(V)	Theta
0.001075	-50.024207
0.001076	-50.009550
0.001076	-49.995793
0.001077	-49.982570
0.001078	-49.969218
0.001078	-49.956256
0.001079	-49.943769
0.001079	-49.931695
0.001080	-49.920265
0.001080	-49.909447
0.001081	-49.898983
0.001081	-49.889003
0.001082	-49.879547
0.001082	-49.870688
0.001082	-49.862386
0.001083	-49.854237
0.001083	-49.846493
0.001083	-49.839632
0.001083	-49.834330
0.001083	-49.830831
0.001083	-49.828805
0.001084	-49.827809
0.001084	-49.827544
0.001084	-49.827701
0.001084	-49.828335
0.001083	-49.829195
0.001083	-49.830295
0.001083	-49.831759
0.001083	-49.833448
0.001083	-49.835240
0.001083	-49.837337
0.001083	-49.839964
0.001083	-49.843116
0.001082	-49.846763
0.001082	-49.850707
0.001082	-49.854707
0.001082	-49.858858
0.001082	-49.863296
0.001082	-49.867966
0.001082	-49.872812
0.001083	-49.877705
0.001083	-49.882540
0.001083	-49.887164
0.001083	-49.891648
0.001083	-49.896087
0.001083	-49.900295
0.001083	-49.904112
0.001084	-49.907546
0.001084	-49.910666
0.001084	-49.913361
0.001084	-49.915568
0.001085	-49.917036
0.001085	-49.917709
0.001085	-49.917672
0.001085	-49.917063
0.001085	-49.916129
0.001086	-49.914716
0.001086	-49.912884
0.001086	-49.910821
0.001086	-49.908864
Mean R	Std.Dev R
0.001076	7.960944E-6
Mean T	Std.Dev T
-50.025535	0.184365
Current Position 
69.865
R(V)	Theta
0.001070	-50.281997
0.001071	-50.280174
0.001071	-50.278152
0.001072	-50.276018
0.001072	-50.273672
0.001072	-50.271067
0.001073	-50.268245
0.001073	-50.265218
0.001074	-50.261952
0.001074	-50.258224
0.001075	-50.254101
0.001075	-50.249672
0.001076	-50.244989
0.001076	-50.240195
0.001077	-50.235171
0.001077	-50.229805
0.001078	-50.223976
0.001078	-50.217986
0.001079	-50.211815
0.001080	-50.205558
0.001081	-50.199454
0.001081	-50.193539
0.001082	-50.187931
0.001083	-50.182759
0.001084	-50.177811
0.001085	-50.172957
0.001085	-50.167924
0.001086	-50.162421
0.001087	-50.156348
0.001088	-50.149669
0.001089	-50.142422
0.001089	-50.134615
0.001090	-50.126176
0.001091	-50.117045
0.001092	-50.107325
0.001093	-50.097302
0.001093	-50.087086
0.001094	-50.076620
0.001095	-50.066132
0.001095	-50.055679
0.001096	-50.045638
0.001097	-50.036263
0.001097	-50.027663
0.001098	-50.019840
0.001099	-50.012652
0.001099	-50.006137
0.001100	-50.000689
0.001100	-49.996103
0.001100	-49.992282
0.001101	-49.989037
0.001101	-49.986563
0.001102	-49.984743
0.001102	-49.983584
0.001102	-49.983110
0.001103	-49.983245
0.001103	-49.984106
0.001103	-49.985703
0.001104	-49.987846
0.001104	-49.990237
0.001104	-49.992834
0.001105	-49.995734
0.001105	-49.998880
0.001105	-50.002292
0.001106	-50.005892
0.001106	-50.009707
0.001106	-50.013649
0.001106	-50.017474
0.001107	-50.020791
0.001107	-50.023350
0.001107	-50.025184
0.001107	-50.026314
0.001107	-50.026465
0.001107	-50.025537
0.001107	-50.023661
0.001108	-50.020891
0.001108	-50.017240
0.001108	-50.012853
0.001108	-50.007894
0.001108	-50.002349
0.001108	-49.996196
0.001107	-49.989531
0.001107	-49.982575
0.001107	-49.975503
0.001107	-49.968354
0.001107	-49.961275
0.001107	-49.954684
0.001107	-49.948389
0.001107	-49.942231
0.001107	-49.936476
0.001107	-49.931252
0.001106	-49.926619
0.001106	-49.922265
0.001106	-49.918070
0.001106	-49.914060
0.001106	-49.910404
0.001106	-49.906808
0.001105	-49.903073
0.001105	-49.899323
0.001105	-49.895997
0.001105	-49.893146
Mean R	Std.Dev R
0.001095	1.269118E-5
Mean T	Std.Dev T
-50.067299	0.117127
Current Position 
69.850
R(V)	Theta
0.001098	-49.776980
0.001098	-49.782632
0.001098	-49.788945
0.001098	-49.795604
0.001098	-49.802672
0.001098	-49.810225
0.001098	-49.818203
0.001098	-49.826479
0.001098	-49.835178
0.001098	-49.844259
0.001098	-49.853490
0.001097	-49.862610
0.001097	-49.871423
0.001097	-49.879707
0.001097	-49.887247
0.001096	-49.894057
0.001096	-49.900029
0.001096	-49.905175
0.001095	-49.909582
0.001095	-49.913373
0.001095	-49.916762
0.001095	-49.919635
0.001094	-49.922079
0.001094	-49.924296
0.001094	-49.926366
0.001094	-49.928214
0.001093	-49.929771
0.001093	-49.930953
0.001093	-49.931797
0.001093	-49.932643
0.001092	-49.933459
0.001092	-49.934211
0.001092	-49.934944
0.001092	-49.935598
0.001091	-49.936113
0.001091	-49.936603
0.001091	-49.936918
0.001090	-49.936849
0.001090	-49.936363
0.001090	-49.935360
0.001089	-49.934024
